Age,TenureMonths,MonthlyCharge,SupportCalls,ContractType,Churn
45,9,106.89,1,Two Year,0
40,34,77.06,1,Month-to-Month,1
54,35,23.04,1,Month-to-Month,0
49,1,113.09,1,One Year,1
50,40,88.95,2,Month-to-Month,1
18,64,87.65,3,One Year,0
36,22,41.57,1,Month-to-Month,0
19,60,85.89,2,Two Year,0
61,64,59.39,2,Two Year,0
43,11,85.12,0,One Year,0
49,14,30.66,6,Two Year,1
23,60,85.78,0,Month-to-Month,1
49,30,119.94,2,Month-to-Month,1
21,35,24.82,2,One Year,0
28,37,117.72,1,One Year,0
34,5,60.69,0,Month-to-Month,1
55,26,107.08,1,Month-to-Month,0
41,62,98.24,0,Month-to-Month,0
22,4,76.7,4,Month-to-Month,1
69,42,93.84,3,Month-to-Month,0
51,18,107.85,2,One Year,1
23,40,60.41,0,Month-to-Month,0
39,39,52.7,2,Month-to-Month,0
28,14,86.76,2,One Year,1
65,32,100.78,0,One Year,0
33,51,96.23,2,Two Year,0
50,38,99.78,0,One Year,0
26,23,63.56,0,Month-to-Month,1
23,63,101.78,1,Two Year,0
33,15,32.02,1,One Year,0
46,25,74.45,1,Month-to-Month,1
20,17,20.58,0,One Year,0
37,66,52.46,0,Two Year,0
53,53,56.65,1,Month-to-Month,0
36,51,59.62,1,Month-to-Month,0
43,39,89.55,1,Month-to-Month,1
20,51,58.86,3,Month-to-Month,0
36,70,64.87,2,Month-to-Month,0
37,6,43.75,2,One Year,0
49,67,57.33,0,Month-to-Month,0
24,7,42.73,2,Two Year,1
69,51,27.32,1,One Year,0
58,42,80.34,2,One Year,0
50,64,86.82,1,Two Year,0
57,15,81.95,0,Month-to-Month,0
56,29,66.35,1,Month-to-Month,0
35,33,57.98,2,One Year,0
57,27,106.33,4,Two Year,0
18,36,71.91,1,One Year,0
28,29,67.92,1,Month-to-Month,1
45,38,22.56,2,Two Year,0
42,57,54.12,0,Month-to-Month,0
67,27,58.02,6,Two Year,1
40,55,59.88,1,Two Year,0
48,33,78.02,0,Month-to-Month,0
47,68,73.36,0,One Year,0
59,66,80.79,3,Month-to-Month,0
52,10,96.49,2,Month-to-Month,1
24,5,101.3,1,One Year,1
33,38,91.81,2,One Year,1
43,13,115.55,3,Two Year,1
65,31,21.82,0,One Year,0
69,47,39.58,0,Month-to-Month,0
66,52,20.76,2,Two Year,0
19,56,84.75,2,Two Year,0
18,15,109.8,2,Month-to-Month,1
65,29,44.35,1,Two Year,0
29,8,112.7,2,Month-to-Month,1
22,5,26.03,0,Two Year,0
54,29,113.44,0,Month-to-Month,1
49,47,55.16,1,Month-to-Month,0
26,68,30.14,0,Month-to-Month,0
58,45,68.59,4,One Year,0
52,2,45.68,1,Month-to-Month,0
36,27,48.49,5,Month-to-Month,1
65,36,50.73,2,One Year,0
33,36,100.3,2,Two Year,1
20,26,73.92,7,Month-to-Month,1
37,43,51.13,2,Month-to-Month,1
41,27,81.03,2,Month-to-Month,1
50,69,91.62,2,Month-to-Month,0
41,20,47.26,0,Two Year,0
69,11,61.35,0,Two Year,0
28,38,32.19,2,One Year,0
66,6,38.11,1,Month-to-Month,0
25,23,88.11,2,One Year,1
53,47,38.14,0,One Year,0
55,46,72.52,1,Two Year,0
57,12,90.9,2,One Year,1
37,13,30.69,1,One Year,0
52,62,76.73,2,One Year,0
65,60,45.66,2,Month-to-Month,0
42,43,116.29,4,Two Year,0
52,68,68.35,1,One Year,0
42,5,100.6,1,One Year,1
46,37,75.02,1,Month-to-Month,0
35,31,24.34,0,One Year,0
63,9,83.32,1,One Year,1
35,51,115.14,1,Month-to-Month,1
19,29,80.16,0,Month-to-Month,0
52,40,101.92,0,One Year,0
33,41,108.42,0,One Year,0
58,11,42.81,3,One Year,0
53,23,41.2,2,Month-to-Month,1
50,1,81.1,1,One Year,1
21,46,61.1,4,Month-to-Month,1
50,21,103.99,2,Month-to-Month,1
31,36,110.0,0,Month-to-Month,0
38,54,55.34,1,Month-to-Month,0
65,57,43.69,2,Month-to-Month,0
37,1,98.05,0,Month-to-Month,1
25,63,47.48,0,Month-to-Month,0
24,54,102.26,2,Month-to-Month,0
20,55,62.37,3,One Year,0
34,40,86.75,2,Month-to-Month,0
50,15,29.55,2,Month-to-Month,0
65,21,82.39,1,Two Year,0
29,47,65.18,0,Month-to-Month,0
68,53,78.66,1,One Year,0
39,9,36.8,1,Month-to-Month,1
39,52,93.69,0,Month-to-Month,0
63,57,106.28,1,One Year,0
47,26,41.67,1,One Year,0
55,41,29.57,1,Two Year,0
55,35,22.36,2,One Year,0
62,63,84.2,3,Two Year,0
68,25,80.71,1,Month-to-Month,1
25,38,74.67,2,Month-to-Month,1
44,2,43.19,4,Month-to-Month,1
44,7,59.09,2,Month-to-Month,1
51,34,79.45,0,One Year,0
38,17,69.68,2,One Year,0
47,43,118.78,3,Month-to-Month,1
50,59,33.64,1,Two Year,0
45,51,89.51,1,Two Year,0
64,54,60.43,1,Month-to-Month,0
50,24,62.82,2,Month-to-Month,1
22,25,91.76,4,Month-to-Month,1
65,71,89.24,4,Month-to-Month,0
36,52,119.13,1,Month-to-Month,0
21,70,32.84,1,One Year,0
52,33,30.41,6,Month-to-Month,1
66,49,92.43,1,Month-to-Month,0
34,29,77.84,2,Two Year,1
61,63,47.42,0,One Year,0
45,22,27.94,1,Two Year,0
47,26,28.57,3,Month-to-Month,0
46,28,109.42,4,Month-to-Month,1
63,49,39.19,3,One Year,0
23,71,52.34,2,Month-to-Month,0
52,49,42.67,0,Month-to-Month,0
58,20,55.5,1,One Year,1
54,63,26.94,1,One Year,0
41,61,71.91,3,Month-to-Month,0
46,49,26.76,4,Month-to-Month,0
66,71,100.04,1,Month-to-Month,0
63,1,43.37,1,Month-to-Month,1
48,13,74.0,1,Month-to-Month,1
52,51,108.01,1,Month-to-Month,0
50,56,85.09,2,Month-to-Month,1
69,62,73.3,2,Two Year,0
38,32,52.43,2,One Year,0
49,30,53.3,3,One Year,0
40,29,86.95,1,Month-to-Month,1
50,49,119.41,2,Month-to-Month,0
20,45,86.18,1,Month-to-Month,0
35,30,75.78,2,Month-to-Month,0
42,16,93.07,1,Month-to-Month,1
59,40,66.52,1,One Year,0
48,19,26.01,2,One Year,0
20,18,76.23,1,One Year,0
57,1,115.76,1,Month-to-Month,1
63,47,37.53,0,Two Year,0
41,66,89.0,1,Month-to-Month,0
67,38,40.09,1,Month-to-Month,0
49,51,73.58,2,Month-to-Month,1
64,63,29.67,0,One Year,0
39,4,65.04,2,Two Year,0
40,1,95.62,3,Month-to-Month,1
19,8,54.76,0,Two Year,0
44,29,86.49,2,Two Year,0
59,55,99.54,2,Month-to-Month,0
19,3,112.72,1,Month-to-Month,1
43,32,43.46,2,Month-to-Month,1
34,10,59.93,0,Two Year,1
57,34,35.24,3,Month-to-Month,1
50,55,119.25,3,One Year,0
26,32,112.7,0,Month-to-Month,0
60,50,74.0,1,One Year,1
65,7,104.2,2,Month-to-Month,1
56,8,72.1,1,One Year,0
46,65,82.36,2,Two Year,0
59,57,28.91,0,Two Year,0
43,67,95.53,1,Two Year,0
52,59,32.77,3,Month-to-Month,1
67,54,102.61,2,One Year,0
42,67,98.2,3,Month-to-Month,0
41,51,90.87,1,Month-to-Month,0
30,8,23.62,0,One Year,0
24,34,50.31,2,Month-to-Month,0
53,35,46.31,1,One Year,0
62,32,56.01,1,Two Year,0
37,46,28.76,0,Month-to-Month,0
18,16,113.7,2,One Year,1
25,68,75.38,1,Month-to-Month,0
63,37,50.55,6,Month-to-Month,1
33,54,59.7,3,Month-to-Month,0
31,14,64.72,0,Two Year,0
29,55,80.06,2,Two Year,0
68,48,71.57,1,Two Year,0
40,7,111.94,2,Two Year,0
32,7,69.7,3,Month-to-Month,1
45,33,119.22,2,Month-to-Month,1
51,23,105.14,2,One Year,1
19,19,40.85,2,Month-to-Month,1
49,19,113.06,0,Month-to-Month,1
40,36,31.64,1,Month-to-Month,1
39,29,101.74,0,One Year,0
68,60,58.06,2,One Year,0
42,2,107.8,2,Month-to-Month,1
39,1,106.81,1,Month-to-Month,0
39,47,100.59,0,One Year,0
66,69,99.0,0,One Year,0
69,20,50.47,0,Month-to-Month,1
59,11,28.09,4,One Year,0
23,2,60.3,1,Month-to-Month,0
32,67,37.35,1,Month-to-Month,0
60,12,89.5,1,One Year,0
54,20,54.61,3,One Year,1
50,5,117.56,3,Month-to-Month,1
25,37,84.1,3,One Year,1
61,38,102.25,1,One Year,0
61,9,33.25,1,One Year,0
22,53,106.2,5,One Year,0
56,44,112.28,1,One Year,0
21,24,68.71,1,Month-to-Month,0
23,30,80.63,1,Month-to-Month,0
62,59,96.48,0,Month-to-Month,0
49,14,37.48,0,Month-to-Month,0
69,9,70.26,0,One Year,0
47,40,59.87,3,One Year,0
64,66,34.64,0,Month-to-Month,0
52,25,56.75,0,Month-to-Month,1
57,22,26.82,0,Month-to-Month,0
69,4,22.58,1,Month-to-Month,1
33,26,33.52,1,One Year,1
30,58,116.31,0,Month-to-Month,0
67,29,74.95,2,One Year,0
59,37,116.58,0,Two Year,0
47,70,63.25,1,Month-to-Month,0
36,18,51.18,0,Month-to-Month,0
34,42,70.61,3,Month-to-Month,1
36,41,63.95,2,One Year,0
45,38,30.57,1,One Year,0
43,34,84.08,1,Month-to-Month,0
54,17,41.6,3,One Year,0
43,37,81.96,1,Two Year,0
40,25,85.02,1,Month-to-Month,0
26,27,35.2,1,Month-to-Month,1
29,57,26.13,2,Two Year,0
18,31,98.08,1,One Year,0
18,6,65.98,0,Two Year,0
64,40,25.82,1,One Year,0
51,12,119.49,2,Two Year,0
49,53,25.78,1,Month-to-Month,1
65,71,89.5,0,One Year,0
42,10,118.37,5,Two Year,1
57,45,43.92,2,One Year,0
62,17,34.22,0,Month-to-Month,0
18,26,32.14,3,Month-to-Month,1
33,62,50.33,3,Month-to-Month,0
56,46,30.1,0,Month-to-Month,0
22,64,89.22,2,Month-to-Month,1
39,2,26.23,1,One Year,0
46,54,70.94,1,One Year,0
20,65,119.67,2,Month-to-Month,1
29,51,101.4,2,One Year,1
43,53,81.52,0,Month-to-Month,0
33,36,50.63,1,Month-to-Month,0
68,26,82.39,0,Month-to-Month,0
54,29,72.7,1,One Year,0
39,21,62.61,3,Month-to-Month,0
46,11,33.07,0,Month-to-Month,1
31,40,108.66,2,Month-to-Month,1
45,11,64.98,3,Two Year,1
22,36,39.46,4,Month-to-Month,0
64,59,56.78,1,One Year,0
66,39,61.41,3,One Year,0
47,54,102.75,0,One Year,0
63,55,93.36,5,Two Year,1
69,24,96.93,3,Month-to-Month,1
22,22,21.1,2,Month-to-Month,1
29,69,61.62,0,Two Year,0
33,56,68.13,1,Month-to-Month,1
43,33,21.92,0,One Year,0
43,36,45.98,2,One Year,0
65,20,96.03,0,One Year,1
38,62,33.71,0,Two Year,0
56,26,73.53,2,Two Year,0
53,66,41.52,2,One Year,0
50,40,21.21,1,Month-to-Month,0
47,17,44.12,2,Two Year,1
54,1,117.59,1,Month-to-Month,0
40,61,100.15,1,Month-to-Month,0
27,43,115.96,1,Two Year,0
22,42,68.79,4,Month-to-Month,0
53,25,30.97,0,Month-to-Month,0
51,39,74.8,2,Month-to-Month,0
69,35,65.44,0,Two Year,0
48,3,104.44,1,One Year,1
27,44,29.81,1,One Year,0
36,51,68.82,1,Month-to-Month,0
49,12,35.0,1,One Year,0
18,19,52.47,5,One Year,1
22,44,93.74,1,Month-to-Month,0
62,59,67.6,1,Month-to-Month,0
21,49,57.59,0,Month-to-Month,0
33,61,59.45,3,Two Year,0
41,17,65.94,2,One Year,1
33,57,98.5,0,Two Year,0
19,55,109.21,1,Month-to-Month,1
66,47,115.53,0,One Year,0
45,12,98.69,2,One Year,1
49,62,51.54,1,One Year,0
44,8,88.81,1,Two Year,0
37,21,63.76,3,Month-to-Month,1
41,70,45.47,3,Month-to-Month,0
29,25,104.09,4,One Year,0
67,12,23.84,2,One Year,0
52,15,110.18,1,One Year,0
50,59,66.15,3,Month-to-Month,0
50,26,83.72,0,One Year,0
68,26,85.94,5,Month-to-Month,1
60,47,109.51,0,Month-to-Month,1
54,32,83.67,2,One Year,0
29,10,81.39,2,One Year,1
20,16,26.67,3,Month-to-Month,1
18,71,71.84,1,Month-to-Month,0
50,17,35.02,2,Month-to-Month,1
57,23,93.74,2,Month-to-Month,1
27,26,71.22,1,One Year,0
60,7,88.02,0,Two Year,0
61,14,24.17,5,Month-to-Month,1
46,7,28.48,2,One Year,0
30,9,91.63,0,Two Year,1
29,48,27.21,1,Two Year,0
48,59,27.13,3,Month-to-Month,0
63,39,21.21,0,Two Year,0
19,18,115.65,0,Month-to-Month,0
68,59,93.75,1,Month-to-Month,1
67,17,55.33,4,Month-to-Month,0
52,14,49.65,2,Month-to-Month,1
40,31,54.97,1,Month-to-Month,1
34,24,97.47,2,Month-to-Month,1
43,60,86.14,4,Month-to-Month,1
25,45,38.52,0,Two Year,0
46,3,37.41,1,Two Year,1
43,37,29.84,4,Month-to-Month,1
27,43,86.03,1,Two Year,0
43,40,96.44,0,Two Year,0
51,55,46.5,1,One Year,0
68,39,22.09,1,Month-to-Month,0
58,15,28.22,0,One Year,0
24,4,116.79,0,Two Year,0
21,25,49.54,4,One Year,0
67,13,96.92,2,Month-to-Month,1
62,33,82.47,1,One Year,0
28,16,58.19,1,One Year,0
46,42,40.57,1,One Year,0
53,66,32.14,0,Month-to-Month,0
42,55,81.5,1,Month-to-Month,0
38,42,97.46,2,Two Year,1
53,34,84.39,0,Two Year,0
27,30,73.03,1,Month-to-Month,1
54,13,24.2,2,Two Year,0
26,13,116.85,2,Month-to-Month,1
41,18,99.87,1,One Year,0
52,32,49.28,1,One Year,0
66,39,118.0,1,Two Year,1
52,46,80.19,1,Two Year,0
65,29,78.24,1,Month-to-Month,0
53,62,94.81,3,Two Year,0
35,62,101.18,2,Month-to-Month,0
66,57,85.65,4,One Year,0
56,16,32.81,2,One Year,0
49,56,53.83,2,One Year,0
41,10,112.81,2,Month-to-Month,1
40,30,42.46,2,Two Year,0
49,25,57.22,0,Month-to-Month,0
54,5,63.21,1,Month-to-Month,1
29,65,63.94,2,One Year,0
66,49,81.29,1,Month-to-Month,0
30,3,114.31,1,Two Year,1
40,45,44.07,1,Month-to-Month,0
42,14,32.15,1,Month-to-Month,0
52,30,39.75,1,Two Year,0
58,68,108.69,0,One Year,0
47,18,84.58,2,Month-to-Month,0
34,62,48.59,2,One Year,0
66,37,101.59,2,One Year,1
37,25,106.14,0,One Year,0
65,48,104.65,3,Month-to-Month,0
42,65,111.89,1,Two Year,0
39,53,45.22,0,Two Year,0
30,15,95.5,1,One Year,0
36,49,66.05,1,Month-to-Month,0
66,68,104.2,4,Two Year,0
53,12,92.85,1,One Year,0
29,59,97.64,0,One Year,0
58,37,85.62,2,Month-to-Month,0
36,61,37.74,1,Two Year,0
29,43,74.5,1,One Year,0
26,70,118.47,1,Month-to-Month,0
24,39,113.74,1,Month-to-Month,1
45,56,24.32,1,Two Year,0
31,63,36.48,3,Month-to-Month,0
48,46,33.17,1,Two Year,0
69,11,92.6,0,One Year,1
36,62,101.78,0,One Year,0
64,25,41.35,1,Month-to-Month,1
33,71,70.59,3,Month-to-Month,0
22,52,104.07,0,Two Year,0
52,4,93.28,0,Month-to-Month,0
29,59,74.22,2,One Year,0
42,20,79.03,0,Month-to-Month,1
69,63,70.84,0,Month-to-Month,0
38,54,49.75,1,Month-to-Month,0
53,57,76.5,0,One Year,0
40,41,88.89,1,Two Year,1
33,3,107.33,1,Month-to-Month,1
56,6,83.63,0,Month-to-Month,1
62,5,96.11,2,Month-to-Month,1
59,5,36.01,1,One Year,0
56,54,66.16,1,Month-to-Month,0
31,47,20.93,3,Two Year,0
48,49,44.67,0,One Year,0
22,9,92.65,0,One Year,0
52,20,119.18,3,Month-to-Month,1
40,61,29.92,1,Two Year,0
46,35,60.15,3,Month-to-Month,0
60,50,100.01,2,Month-to-Month,1
28,62,40.4,4,One Year,0
35,17,75.51,2,One Year,0
64,3,93.31,4,Month-to-Month,1
29,32,81.6,1,Month-to-Month,1
26,13,38.8,1,One Year,0
27,68,55.54,3,Month-to-Month,0
61,14,98.38,2,Two Year,0
34,11,75.42,0,One Year,0
55,56,20.52,0,Month-to-Month,0
24,67,96.1,1,Month-to-Month,0
63,29,23.53,2,Month-to-Month,1
30,9,94.57,1,One Year,1
57,67,40.25,3,One Year,0
59,25,115.81,3,Month-to-Month,1
26,42,56.79,0,One Year,0
67,9,52.69,0,Two Year,0
44,40,34.89,2,Month-to-Month,0
19,25,50.56,4,Two Year,0
22,5,107.67,1,Month-to-Month,1
46,11,119.63,0,Month-to-Month,0
54,59,56.83,1,Month-to-Month,0
55,38,64.86,1,Month-to-Month,1
36,5,92.21,2,Month-to-Month,0
25,48,108.62,1,Month-to-Month,1
65,18,79.3,2,Two Year,0
62,70,59.15,0,Two Year,0
18,37,61.26,2,One Year,0
39,60,89.56,4,Month-to-Month,1
69,48,20.32,3,Month-to-Month,0
34,28,81.96,0,Month-to-Month,0
24,69,55.55,2,One Year,0
42,40,99.42,2,Two Year,0
62,45,29.3,1,Month-to-Month,0
21,62,78.82,0,Month-to-Month,0
53,58,68.1,2,One Year,0
23,67,84.23,2,Month-to-Month,0
48,56,26.49,0,Month-to-Month,0
36,40,78.0,1,One Year,1
61,40,76.15,3,One Year,0
56,33,76.07,2,Month-to-Month,0
44,6,80.35,0,Month-to-Month,1
27,19,87.65,0,Two Year,1
43,40,100.5,2,Month-to-Month,0
36,59,46.98,1,Month-to-Month,1
56,59,102.5,1,Month-to-Month,0
20,48,69.83,3,Month-to-Month,1
62,41,27.71,2,Month-to-Month,1
30,13,25.86,0,Two Year,0
67,45,53.42,0,Month-to-Month,0
45,53,98.49,2,Month-to-Month,1
37,42,90.77,0,One Year,0
45,63,98.86,3,One Year,0
25,27,71.73,1,Two Year,1
58,38,64.02,1,Two Year,0
56,60,34.75,3,Month-to-Month,0
18,7,52.82,1,One Year,0
20,5,63.4,0,Month-to-Month,1
30,45,28.86,4,Two Year,0
45,58,42.06,1,Month-to-Month,0
66,31,79.82,3,Two Year,1
42,23,93.57,1,One Year,0
50,42,119.83,3,Month-to-Month,0
55,10,113.31,1,One Year,0
23,32,84.26,0,Two Year,0
61,53,62.12,1,Two Year,0
62,30,83.62,2,Month-to-Month,1
49,39,98.57,1,One Year,0
62,31,31.83,0,Month-to-Month,0
64,2,60.99,1,Month-to-Month,1
38,12,103.98,1,Month-to-Month,1
33,39,58.38,2,Month-to-Month,0
38,66,77.19,3,Two Year,0
28,13,78.78,5,Month-to-Month,1
54,46,38.45,3,Two Year,0
53,27,56.22,2,Month-to-Month,1
52,17,53.45,3,Month-to-Month,1
36,60,22.62,2,Month-to-Month,0
37,64,22.42,2,Month-to-Month,0
35,35,103.17,1,Month-to-Month,0
64,70,47.31,1,Month-to-Month,0
58,30,71.81,1,One Year,0
66,71,49.87,4,Month-to-Month,1
31,63,114.07,3,Month-to-Month,0
32,28,45.93,1,Month-to-Month,0
48,60,62.97,1,Two Year,0
18,37,107.27,3,Two Year,0
20,22,104.19,1,Month-to-Month,0
33,68,38.61,1,Month-to-Month,0
40,20,100.26,1,Month-to-Month,1
28,68,65.82,1,Two Year,0
29,64,68.3,0,Month-to-Month,0
27,17,33.35,3,Month-to-Month,1
49,12,28.06,1,Month-to-Month,1
33,22,92.79,0,Month-to-Month,0
25,17,69.65,2,Month-to-Month,0
