StudyHoursPerDay,SleepHoursPerDay,AttendancePercent,Gender,ParentalEducation,Extracurricular,ExamScore
5.6,5.9,91.0,Male,Master's,No,74.4
7.1,8.6,88.1,Female,Bachelor's,No,77.3
6.1,9.8,95.9,Male,Master's,No,54.6
2.5,7.8,82.5,Male,High School,Yes,49.5
5.4,8.2,84.0,Female,Master's,No,62.2
5.0,6.4,73.4,Male,Master's,Yes,67.1
4.1,5.3,100.0,Male,Bachelor's,No,56.9
3.7,6.7,71.1,Female,Bachelor's,No,52.8
8.5,9.0,87.0,Female,High School,Yes,84.7
4.2,4.6,76.1,Male,High School,No,51.9
3.3,6.4,88.4,Male,Bachelor's,No,62.1
6.3,4.5,92.4,Male,Bachelor's,Yes,61.5
5.3,7.1,68.6,Male,Bachelor's,No,69.6
4.8,8.1,82.9,Male,Bachelor's,No,74.8
6.6,5.4,67.4,Female,Master's,Yes,59.2
6.0,6.5,99.0,Male,High School,Yes,56.7
5.7,8.7,80.6,Female,Master's,Yes,58.2
6.9,6.9,69.2,Female,Bachelor's,No,74.3
5.6,5.4,78.0,Male,High School,No,60.3
3.8,5.3,98.1,Male,Master's,No,70.1
4.3,4.4,99.9,Female,Bachelor's,Yes,56.9
4.0,8.0,97.7,Male,High School,Yes,61.0
5.4,6.0,77.2,Male,Master's,Yes,65.1
2.8,8.4,83.5,Male,High School,No,66.3
1.3,8.1,100.0,Female,Bachelor's,Yes,58.0
5.2,6.1,77.7,Female,Bachelor's,No,56.3
2.3,6.3,81.7,Female,Master's,Yes,59.3
1.1,8.0,75.5,Male,Master's,Yes,53.9
5.7,7.2,73.4,Female,Master's,No,68.4
3.6,7.3,97.1,Female,Master's,No,62.3
6.0,4.9,91.3,Male,High School,Yes,65.7
3.9,8.2,89.5,Female,Bachelor's,Yes,65.7
2.8,5.9,90.8,Female,Bachelor's,Yes,43.3
2.5,4.0,95.2,Female,High School,Yes,60.8
4.0,6.2,100.0,Male,Bachelor's,Yes,75.1
4.5,7.5,84.9,Female,Master's,No,67.7
3.4,9.7,81.6,Male,Bachelor's,Yes,56.8
4.4,6.5,74.8,Female,Bachelor's,Yes,52.0
1.9,5.3,95.8,Female,Bachelor's,No,65.3
5.0,9.8,79.9,Female,Bachelor's,No,62.7
1.4,7.2,70.1,Male,Master's,No,49.0
4.6,6.7,82.3,Female,Master's,Yes,66.5
6.4,5.6,85.2,Female,High School,No,64.4
7.2,5.7,93.3,Female,High School,No,73.2
8.4,8.9,95.0,Male,Bachelor's,No,90.1
1.9,6.6,77.7,Male,Master's,No,49.8
6.5,6.3,77.0,Male,PhD,Yes,82.8
7.4,6.3,81.7,Female,Bachelor's,No,74.1
7.0,9.0,72.9,Male,Master's,No,72.7
3.1,6.2,83.9,Male,Bachelor's,No,64.7
5.8,7.8,89.6,Female,PhD,Yes,77.7
8.7,7.3,85.4,Male,Bachelor's,No,84.6
2.0,7.3,68.9,Male,PhD,Yes,58.1
6.0,5.9,73.1,Female,Bachelor's,No,60.8
7.2,7.9,97.9,Male,Bachelor's,No,87.0
3.6,9.1,74.9,Female,Master's,No,59.1
6.2,6.9,92.4,Male,Bachelor's,Yes,66.7
2.9,5.8,91.3,Female,Master's,No,65.0
3.4,5.3,81.8,Female,Bachelor's,Yes,64.4
3.4,7.2,75.0,Female,Bachelor's,No,57.8
5.4,6.6,87.1,Female,Bachelor's,Yes,69.1
4.8,6.9,76.1,Female,PhD,Yes,68.5
6.9,7.0,83.2,Male,High School,Yes,86.1
3.1,5.1,86.1,Male,High School,No,57.3
4.7,8.0,77.8,Male,PhD,No,54.7
6.9,7.3,82.7,Female,High School,No,67.0
6.1,6.9,81.9,Female,High School,Yes,73.4
2.4,7.3,72.6,Female,Bachelor's,No,52.9
6.3,8.2,83.1,Male,Master's,No,65.2
4.0,7.1,78.6,Female,PhD,No,65.6
5.8,5.9,66.8,Male,High School,No,67.9
5.6,8.5,81.6,Female,High School,Yes,68.1
7.4,6.4,82.2,Female,PhD,No,73.7
5.2,6.1,79.0,Male,Bachelor's,No,59.3
1.3,5.0,64.4,Female,Master's,Yes,44.9
2.3,7.0,92.8,Male,Bachelor's,Yes,57.8
6.5,5.6,91.8,Male,High School,Yes,62.9
4.5,6.3,91.5,Male,Master's,No,66.7
7.3,7.6,88.2,Female,High School,No,73.1
5.5,7.0,72.4,Female,High School,No,60.4
3.5,8.3,86.2,Female,Bachelor's,No,62.3
7.2,7.4,75.7,Female,Bachelor's,Yes,73.3
3.4,6.5,100.0,Female,High School,No,57.7
0.9,6.6,79.8,Female,High School,No,46.4
9.1,6.3,91.7,Female,High School,Yes,75.6
1.2,7.8,69.5,Female,Bachelor's,No,59.4
6.3,7.0,73.2,Female,Bachelor's,No,54.9
6.9,6.5,79.6,Male,Bachelor's,No,68.9
5.3,8.1,92.0,Female,High School,No,74.1
1.6,7.1,90.5,Male,Bachelor's,No,47.9
7.0,6.4,87.9,Male,Master's,No,64.8
2.1,5.0,66.5,Male,High School,Yes,45.2
2.3,7.6,96.3,Female,Bachelor's,No,46.7
4.3,7.3,75.7,Female,PhD,No,68.9
6.6,7.1,100.0,Male,Master's,No,71.5
5.6,6.4,100.0,Male,Bachelor's,Yes,63.7
6.6,5.9,93.3,Female,High School,No,66.2
4.1,6.7,94.9,Male,High School,No,64.7
4.7,7.3,72.4,Male,High School,Yes,60.7
2.7,6.8,100.0,Female,High School,No,54.0
4.4,6.8,87.2,Female,Bachelor's,Yes,68.3
6.2,6.4,95.0,Male,Bachelor's,No,63.8
4.4,7.4,76.4,Female,High School,No,58.1
6.0,7.3,84.3,Female,Bachelor's,Yes,70.8
3.9,6.0,73.1,Female,Bachelor's,Yes,54.3
3.8,8.0,82.6,Male,Master's,No,61.2
5.1,8.0,85.2,Male,PhD,Yes,63.0
4.6,8.1,87.6,Female,PhD,No,82.8
6.2,6.8,99.0,Female,Bachelor's,No,68.2
5.4,6.7,89.8,Female,Master's,Yes,73.1
8.5,5.5,87.4,Female,Bachelor's,No,68.8
4.6,8.0,85.4,Female,High School,No,56.0
4.5,4.2,100.0,Male,High School,Yes,64.8
2.9,6.5,79.2,Male,Bachelor's,No,53.4
5.0,6.6,96.9,Male,Bachelor's,No,64.1
6.4,8.1,65.4,Female,Bachelor's,No,65.0
3.5,7.0,76.2,Female,Bachelor's,Yes,65.5
4.9,5.7,89.1,Male,Bachelor's,No,76.9
6.4,5.1,83.4,Male,Bachelor's,Yes,82.7
4.7,6.1,100.0,Female,Master's,No,66.1
4.0,7.1,100.0,Male,High School,Yes,78.9
6.9,7.1,69.8,Male,Bachelor's,Yes,80.6
5.2,6.7,74.3,Female,Bachelor's,No,57.7
5.8,6.1,83.6,Male,Bachelor's,Yes,64.2
7.3,6.7,100.0,Female,Bachelor's,No,73.7
7.3,8.3,96.4,Female,High School,Yes,90.4
4.3,5.6,88.3,Male,Master's,No,60.3
3.9,7.0,70.9,Female,Bachelor's,No,55.6
5.6,9.1,76.6,Female,Master's,Yes,77.2
4.7,7.7,58.2,Male,High School,No,56.3
1.2,6.4,69.7,Male,High School,No,46.8
7.6,7.9,89.3,Male,High School,Yes,80.0
5.0,6.0,92.9,Male,Master's,Yes,68.0
6.5,7.0,72.0,Female,Bachelor's,Yes,51.0
2.7,9.0,86.1,Female,Master's,Yes,51.6
7.6,9.5,100.0,Male,High School,No,82.3
3.8,4.8,86.7,Male,Master's,No,48.6
4.8,7.9,82.0,Female,High School,No,71.6
2.2,9.5,91.2,Female,PhD,Yes,59.6
4.7,6.3,90.3,Female,Bachelor's,No,65.1
4.5,7.3,85.9,Male,PhD,No,64.5
4.6,9.0,79.7,Female,Bachelor's,Yes,52.4
5.9,6.4,80.8,Male,Bachelor's,No,60.3
5.1,7.6,86.0,Female,High School,Yes,59.5
7.0,6.9,79.6,Male,Bachelor's,No,70.5
4.1,4.5,98.4,Female,Master's,No,72.3
3.0,7.4,94.0,Female,Bachelor's,No,58.1
5.0,6.8,95.9,Male,Bachelor's,Yes,68.4
6.3,8.2,100.0,Male,Master's,No,58.6
7.5,9.7,100.0,Male,Bachelor's,No,74.6
6.6,7.9,99.2,Female,Bachelor's,Yes,73.0
1.5,6.5,88.8,Male,Bachelor's,Yes,53.7
5.8,7.6,83.1,Male,Bachelor's,No,70.5
7.9,7.3,100.0,Female,Master's,Yes,88.3
5.1,8.3,78.3,Female,Master's,No,63.5
4.0,5.1,78.9,Male,Master's,Yes,62.4
5.6,5.5,76.4,Male,High School,No,51.8
4.0,4.3,87.2,Male,High School,No,63.1
6.3,7.8,89.2,Male,Bachelor's,No,69.7
5.0,7.0,95.3,Male,Bachelor's,No,53.9
7.8,6.2,82.8,Male,PhD,Yes,75.9
6.0,6.1,67.7,Female,PhD,No,57.9
3.6,6.3,88.2,Female,Master's,No,66.4
6.2,5.8,94.8,Male,Bachelor's,No,72.0
6.9,6.6,85.4,Male,Master's,No,70.2
3.9,6.4,83.7,Male,Master's,Yes,73.4
4.1,8.8,90.7,Male,High School,No,62.5
0.5,7.4,99.4,Male,Bachelor's,Yes,52.7
6.8,5.9,84.4,Male,High School,Yes,70.8
3.8,6.2,70.8,Female,Bachelor's,Yes,59.0
0.8,8.6,79.4,Female,PhD,Yes,46.5
1.5,7.6,83.4,Male,High School,No,56.7
4.6,7.4,67.0,Female,High School,No,61.9
6.5,7.9,92.7,Male,High School,No,67.4
4.8,9.1,77.4,Male,Master's,Yes,54.5
5.9,5.4,90.1,Female,Bachelor's,Yes,77.0
2.8,6.0,87.0,Female,High School,Yes,67.7
2.3,4.7,81.9,Male,Bachelor's,No,59.1
6.8,7.6,100.0,Male,High School,Yes,82.5
6.0,6.5,79.4,Male,High School,No,78.2
4.9,6.1,78.3,Female,Bachelor's,Yes,66.0
7.6,6.0,87.9,Male,Bachelor's,No,83.8
3.1,7.9,93.4,Female,High School,No,59.8
4.2,6.8,85.0,Male,Bachelor's,Yes,57.7
7.1,6.3,75.2,Female,High School,Yes,70.6
8.7,8.6,91.9,Female,PhD,No,77.0
5.0,5.6,91.1,Female,High School,No,68.2
8.4,5.4,100.0,Male,Bachelor's,No,90.1
3.8,10.0,82.8,Male,PhD,No,65.6
5.7,6.5,87.1,Male,Bachelor's,Yes,76.2
4.7,6.3,79.3,Male,High School,No,76.7
1.8,6.1,70.1,Female,Master's,No,62.9
5.5,6.8,85.8,Female,Bachelor's,Yes,69.0
6.9,8.0,93.5,Male,High School,No,68.8
4.7,8.0,74.9,Female,Bachelor's,No,77.2
4.9,7.7,78.3,Female,Master's,Yes,58.1
7.8,6.6,73.3,Male,Bachelor's,Yes,60.2
2.5,5.1,98.4,Female,High School,No,44.3
2.0,7.4,78.7,Female,Bachelor's,No,62.3
3.7,9.0,90.8,Male,PhD,Yes,55.3
2.6,8.4,76.4,Female,High School,Yes,56.6
7.7,6.8,85.8,Male,Bachelor's,Yes,74.6
5.6,8.0,78.7,Male,Bachelor's,Yes,77.2
3.3,6.5,61.5,Male,Bachelor's,No,44.3
3.8,6.9,85.8,Female,High School,Yes,63.4
10.7,5.4,90.3,Female,High School,No,85.1
3.8,6.6,64.2,Female,Bachelor's,No,65.9
3.5,7.2,83.3,Male,Master's,Yes,60.2
5.6,6.8,80.7,Female,Bachelor's,No,67.6
6.3,8.0,74.2,Female,Bachelor's,Yes,67.5
5.4,9.4,82.5,Male,Master's,No,75.1
3.2,8.7,65.6,Male,High School,Yes,64.8
2.7,6.6,87.5,Female,Bachelor's,No,55.0
6.2,6.0,96.9,Male,Bachelor's,No,74.4
4.9,6.2,72.4,Male,Bachelor's,No,50.8
1.7,5.7,84.3,Male,Bachelor's,No,53.6
7.3,7.0,99.3,Female,Bachelor's,No,69.2
6.6,7.5,86.2,Female,High School,Yes,69.8
4.5,7.2,79.8,Male,High School,Yes,71.4
4.5,7.3,75.9,Male,Master's,No,76.6
5.5,7.2,86.8,Male,Bachelor's,No,68.5
3.6,6.8,83.7,Female,High School,No,59.1
2.3,6.0,91.3,Male,High School,No,54.6
5.6,9.2,69.8,Male,Bachelor's,No,70.5
2.1,8.4,95.8,Female,Master's,Yes,59.9
5.8,5.8,81.0,Female,High School,No,72.6
2.1,5.8,91.4,Female,PhD,No,66.9
4.8,6.2,77.8,Male,High School,No,66.5
4.7,7.0,72.0,Female,Bachelor's,No,58.5
8.6,8.6,79.3,Male,Bachelor's,No,81.9
2.9,8.3,75.5,Male,Bachelor's,No,52.4
2.2,8.4,81.3,Male,High School,Yes,46.1
3.7,8.4,91.5,Female,Bachelor's,No,71.4
2.8,8.4,95.8,Male,Bachelor's,No,74.9
3.8,8.0,87.0,Male,Master's,Yes,73.7
5.8,7.6,79.6,Male,Bachelor's,No,64.4
6.5,6.8,80.5,Female,Bachelor's,Yes,47.0
8.3,4.7,90.9,Female,Bachelor's,Yes,71.9
3.5,6.8,96.4,Female,PhD,No,66.9
10.3,9.3,81.8,Male,High School,No,80.3
9.0,6.3,83.7,Female,High School,Yes,88.7
4.6,6.2,77.5,Male,Master's,No,55.7
0.5,8.3,87.1,Male,High School,No,55.5
4.8,7.1,94.6,Female,Master's,Yes,70.1
5.1,6.4,55.9,Male,Bachelor's,No,60.2
0.5,9.0,87.6,Male,PhD,Yes,44.9
5.1,7.8,79.5,Male,Bachelor's,Yes,66.0
4.6,8.0,61.7,Female,Master's,No,61.2
3.4,6.3,88.1,Male,High School,Yes,59.1
6.3,7.6,84.1,Female,Master's,Yes,62.2
7.0,7.5,88.7,Male,Bachelor's,Yes,71.1
4.0,8.0,71.3,Male,Bachelor's,Yes,54.8
5.5,8.5,100.0,Female,Master's,Yes,75.4
3.7,8.5,86.1,Female,Bachelor's,No,68.9
3.4,7.2,81.6,Female,Bachelor's,Yes,63.5
5.2,7.9,100.0,Female,High School,No,72.1
6.0,5.5,91.5,Male,Master's,No,67.0
3.9,7.8,93.3,Male,Bachelor's,No,65.2
0.6,7.9,96.6,Female,High School,Yes,42.4
6.2,6.5,64.3,Male,Bachelor's,Yes,66.2
1.8,6.0,100.0,Female,Master's,No,63.3
5.2,6.9,81.5,Male,High School,Yes,62.9
8.6,5.4,87.9,Male,Bachelor's,No,80.6
5.0,7.4,94.2,Female,Master's,Yes,58.6
2.6,7.4,77.9,Male,Bachelor's,No,56.2
2.1,5.8,88.2,Male,Bachelor's,No,54.0
7.3,7.1,92.6,Female,High School,No,77.2
5.0,8.4,84.6,Male,High School,No,66.9
6.1,8.4,89.9,Male,Bachelor's,No,86.1
6.9,8.3,68.9,Male,Bachelor's,No,46.1
4.9,6.8,73.1,Female,High School,No,51.5
4.4,6.6,73.5,Male,PhD,No,55.3
3.1,6.5,88.7,Male,Bachelor's,No,59.8
0.5,7.8,100.0,Female,Bachelor's,No,49.8
2.0,10.0,87.6,Male,Master's,No,53.4
4.9,8.8,83.5,Male,High School,Yes,56.5
4.6,9.1,84.4,Female,Master's,No,55.5
5.8,8.8,94.8,Male,Bachelor's,No,64.8
4.7,4.9,92.1,Male,High School,Yes,76.3
5.3,6.7,73.5,Male,PhD,No,57.3
6.6,6.4,95.2,Female,Bachelor's,Yes,93.0
3.2,8.6,84.8,Female,PhD,Yes,69.7
4.4,9.2,93.2,Female,High School,No,64.4
1.8,6.1,65.0,Male,High School,No,55.1
6.9,7.1,69.5,Male,Bachelor's,No,74.7
5.1,7.7,91.0,Female,Master's,Yes,60.5
6.0,6.4,67.0,Female,High School,Yes,54.1
8.1,6.2,88.9,Female,Bachelor's,No,85.2
7.2,6.1,88.4,Female,Master's,Yes,67.1
4.9,8.2,86.5,Male,Bachelor's,No,71.8
6.6,5.8,88.6,Female,Bachelor's,No,74.5
2.1,8.5,87.7,Female,PhD,No,45.5
5.9,7.1,89.5,Male,Bachelor's,No,73.3
5.3,8.0,80.9,Female,Bachelor's,Yes,71.6
1.8,9.0,84.8,Male,Bachelor's,No,65.1
7.7,6.1,100.0,Male,Master's,Yes,77.8
3.6,5.9,96.4,Female,Bachelor's,No,65.2
6.4,7.6,91.1,Male,Bachelor's,No,73.8
4.2,5.7,88.9,Female,High School,Yes,62.4
7.0,6.1,77.7,Female,Bachelor's,No,80.4
7.6,6.9,87.3,Female,Master's,No,80.4
3.3,7.2,82.5,Male,PhD,Yes,71.8
1.9,5.4,94.5,Male,Bachelor's,No,58.2
4.7,6.5,75.8,Female,Master's,Yes,71.6
6.7,7.8,61.4,Male,Bachelor's,No,59.0
4.3,8.7,79.4,Female,Bachelor's,No,58.3
3.8,4.5,92.0,Male,Bachelor's,Yes,69.5
6.0,8.7,100.0,Female,Bachelor's,No,71.1
0.5,8.1,95.3,Female,High School,Yes,52.8
3.7,5.6,75.2,Female,Bachelor's,No,58.5
2.2,5.1,82.8,Female,High School,Yes,44.7
5.6,7.5,75.5,Female,Master's,Yes,68.2
3.5,6.5,83.1,Female,High School,No,62.6
2.8,7.2,76.0,Male,Bachelor's,No,53.7
4.3,8.1,68.6,Female,Bachelor's,No,51.9
2.1,6.5,89.4,Female,Bachelor's,No,68.4
5.0,7.2,87.0,Male,PhD,No,68.4
3.6,7.6,83.3,Male,Master's,Yes,55.2
4.2,8.2,88.5,Male,Master's,No,59.8
3.6,9.3,100.0,Female,High School,No,54.1
6.8,9.2,86.2,Female,Bachelor's,Yes,62.3
4.8,7.3,81.2,Male,Bachelor's,Yes,52.1
6.0,6.7,93.7,Male,High School,No,63.8
6.0,10.0,68.6,Male,Bachelor's,No,69.7
3.4,7.8,92.5,Female,Master's,Yes,69.2
6.1,7.6,77.3,Male,PhD,Yes,68.3
5.7,5.6,76.8,Male,Bachelor's,No,71.3
5.6,8.0,86.1,Male,High School,No,71.7
4.2,6.0,100.0,Male,High School,Yes,58.6
4.1,6.4,77.5,Female,Master's,No,53.8
6.6,5.3,94.5,Female,High School,Yes,74.6
9.4,6.3,88.8,Female,Bachelor's,No,83.9
3.3,7.1,71.1,Male,Bachelor's,No,64.0
6.1,5.1,94.2,Female,Bachelor's,No,59.1
4.3,5.8,76.7,Male,Master's,Yes,48.1
6.6,6.9,70.3,Female,High School,No,80.8
5.9,5.4,77.1,Male,Bachelor's,No,62.7
7.1,5.4,77.7,Male,Bachelor's,No,75.7
0.5,5.9,90.9,Female,Master's,No,51.1
3.8,5.2,77.7,Female,Bachelor's,No,48.2
3.0,7.8,99.9,Female,High School,Yes,74.2
4.8,5.7,87.2,Female,Bachelor's,Yes,69.0
3.6,8.0,77.8,Male,Bachelor's,No,70.0
3.7,8.2,76.7,Male,High School,No,64.1
6.4,5.5,87.3,Female,Master's,No,61.7
8.8,7.1,64.7,Male,Bachelor's,Yes,74.4
0.5,6.4,63.2,Female,Bachelor's,No,52.3
4.4,5.5,76.2,Male,Bachelor's,No,55.0
5.6,6.6,91.3,Female,PhD,Yes,71.3
5.0,6.7,86.8,Male,Bachelor's,No,73.3
4.3,7.9,85.2,Male,Bachelor's,No,54.8
2.3,8.3,82.9,Male,Bachelor's,Yes,56.3
3.1,5.6,63.2,Female,Master's,No,54.2
6.4,6.5,81.7,Female,Bachelor's,No,75.1
7.2,7.7,67.2,Male,High School,No,68.0
5.2,8.5,93.4,Female,High School,No,63.7
3.3,3.8,84.9,Female,Bachelor's,No,60.9
5.2,8.7,84.1,Female,Bachelor's,Yes,64.5
4.5,6.8,89.0,Female,Master's,No,67.1
6.1,9.0,88.2,Female,High School,Yes,75.4
5.2,6.5,87.3,Female,Master's,No,64.4
3.8,5.9,88.5,Male,High School,No,67.1
5.4,7.1,79.1,Female,Bachelor's,No,73.4
2.6,8.5,71.6,Male,Bachelor's,No,46.4
6.6,7.0,88.4,Female,PhD,No,74.6
7.4,3.9,99.5,Female,PhD,No,72.3
2.6,7.9,95.1,Male,High School,No,58.2
5.8,4.9,82.9,Female,High School,No,66.1
3.0,5.7,91.1,Female,Bachelor's,Yes,69.2
7.1,5.5,80.6,Female,High School,Yes,70.6
6.8,4.6,88.8,Male,PhD,No,67.5
4.5,5.4,78.9,Female,Bachelor's,No,52.1
7.0,5.7,86.4,Female,Bachelor's,Yes,71.6
4.1,6.2,100.0,Male,Bachelor's,Yes,66.9
3.7,6.9,92.7,Female,Bachelor's,Yes,57.9
3.9,6.6,100.0,Male,Master's,No,62.5
4.7,5.1,77.3,Female,Master's,Yes,66.3
4.4,6.8,78.1,Female,Bachelor's,Yes,73.3
5.3,8.3,84.6,Male,Master's,No,65.1
3.8,8.2,90.6,Male,PhD,Yes,79.5
6.5,7.2,82.9,Female,Bachelor's,No,76.7
7.0,7.8,95.1,Male,Master's,No,80.6
4.0,8.2,79.5,Male,Bachelor's,Yes,68.0
2.1,8.8,98.6,Male,Bachelor's,No,61.1
6.4,9.2,94.7,Male,High School,No,69.3
7.3,6.6,73.8,Male,High School,No,69.4
4.7,6.6,90.8,Female,Bachelor's,No,65.8
2.4,8.9,82.8,Male,Bachelor's,No,59.2
5.5,9.0,95.2,Male,Bachelor's,Yes,83.6
8.0,9.0,79.6,Female,Bachelor's,No,89.5
1.2,4.0,88.1,Male,Master's,Yes,57.3
6.0,6.7,90.5,Female,Master's,No,76.7
4.4,3.0,57.5,Female,Bachelor's,Yes,51.5
3.3,7.9,66.2,Male,Bachelor's,Yes,44.7
6.0,7.1,86.3,Male,Bachelor's,No,68.4
2.4,7.1,83.7,Male,Master's,No,58.7
5.6,6.8,95.2,Male,Master's,No,79.4
7.6,8.7,87.3,Male,High School,No,92.7
5.4,6.6,72.3,Female,Master's,Yes,67.6
3.2,8.3,88.3,Female,High School,Yes,72.7
1.4,7.7,77.5,Male,High School,No,60.8
2.4,7.5,82.7,Male,Master's,No,58.7
1.3,7.6,79.9,Male,High School,No,58.9
8.2,7.1,88.5,Female,Master's,Yes,81.4
4.5,5.6,70.8,Male,Bachelor's,No,70.7
2.9,7.9,73.8,Male,Bachelor's,Yes,51.8
2.4,7.9,62.8,Female,Master's,Yes,39.0
