Date,Store,Category,UnitsSold,UnitPrice,Revenue
2024-01-15,Store C,Home & Kitchen,8,38.0,304.02
2024-01-15,Store C,Beauty,2,6.61,13.23
2024-01-16,Store A,Electronics,7,68.77,481.41
2024-01-16,Store A,Clothing,4,30.16,120.63
2024-01-16,Store A,Groceries,12,23.38,280.57
2024-01-16,Store A,Home & Kitchen,7,25.03,175.21
2024-01-16,Store A,Beauty,2,28.61,57.22
2024-01-16,Store B,Clothing,2,65.63,131.26
2024-01-16,Store B,Groceries,7,5.55,38.88
2024-01-16,Store B,Home & Kitchen,3,86.98,260.95
2024-01-16,Store B,Beauty,2,51.14,102.27
2024-01-16,Store C,Electronics,3,360.51,1081.53
2024-01-16,Store C,Clothing,3,26.47,79.4
2024-01-16,Store C,Groceries,5,15.83,79.14
2024-01-16,Store C,Home & Kitchen,5,67.19,335.97
2024-01-16,Store C,Beauty,4,11.8,47.19
2024-01-17,Store A,Electronics,5,261.63,1308.15
2024-01-17,Store A,Clothing,4,39.62,158.49
2024-01-17,Store A,Groceries,9,15.31,137.81
2024-01-17,Store A,Home & Kitchen,7,118.37,828.57
2024-01-17,Store A,Beauty,5,15.31,76.56
2024-01-17,Store B,Electronics,8,132.95,1063.64
2024-01-17,Store B,Clothing,4,47.29,189.17
2024-01-17,Store B,Groceries,7,9.24,64.65
2024-01-17,Store B,Home & Kitchen,5,92.98,464.92
2024-01-17,Store B,Beauty,2,14.28,28.56
2024-01-17,Store C,Electronics,4,189.62,758.5
2024-01-17,Store C,Clothing,2,61.73,123.47
2024-01-17,Store C,Groceries,5,3.34,16.71
2024-01-17,Store C,Home & Kitchen,6,34.94,209.66
2024-01-17,Store C,Beauty,3,42.32,126.97
2024-01-18,Store A,Electronics,7,393.43,2753.98
2024-01-18,Store A,Clothing,7,46.25,323.72
2024-01-18,Store A,Groceries,6,4.12,24.75
2024-01-18,Store A,Home & Kitchen,6,76.33,457.95
2024-01-18,Store A,Beauty,3,32.75,98.24
2024-01-18,Store B,Electronics,11,300.14,3301.54
2024-01-18,Store B,Clothing,3,21.05,63.16
2024-01-18,Store B,Groceries,11,23.53,258.86
2024-01-18,Store B,Home & Kitchen,6,92.32,553.93
2024-01-18,Store B,Beauty,1,8.33,8.33
2024-01-18,Store C,Electronics,5,84.21,421.03
2024-01-18,Store C,Clothing,3,68.05,204.16
2024-01-18,Store C,Groceries,4,22.75,91.0
2024-01-18,Store C,Home & Kitchen,5,105.38,526.91
2024-01-18,Store C,Beauty,1,30.87,30.87
2024-01-19,Store A,Electronics,8,196.51,1572.07
2024-01-19,Store A,Clothing,9,35.04,315.35
2024-01-19,Store A,Groceries,7,2.03,14.24
2024-01-19,Store A,Home & Kitchen,7,22.22,155.53
2024-01-19,Store A,Beauty,4,13.14,52.56
2024-01-19,Store B,Electronics,7,242.38,1696.63
2024-01-19,Store B,Clothing,5,51.85,259.23
2024-01-19,Store B,Groceries,8,24.9,199.2
2024-01-19,Store B,Home & Kitchen,2,36.17,72.33
2024-01-19,Store B,Beauty,6,13.14,78.83
2024-01-19,Store C,Electronics,7,218.51,1529.57
2024-01-19,Store C,Clothing,7,74.31,520.16
2024-01-19,Store C,Groceries,6,13.42,80.5
2024-01-19,Store C,Home & Kitchen,2,26.13,52.26
2024-01-19,Store C,Beauty,3,56.23,168.69
2024-01-20,Store A,Electronics,8,205.29,1642.29
2024-01-20,Store A,Clothing,6,32.99,197.93
2024-01-20,Store A,Groceries,10,12.7,127.05
2024-01-20,Store A,Home & Kitchen,3,107.9,323.71
2024-01-20,Store A,Beauty,8,44.73,357.82
2024-01-20,Store B,Electronics,6,58.19,349.13
2024-01-20,Store B,Clothing,9,21.53,193.76
2024-01-20,Store B,Groceries,8,13.73,109.83
2024-01-20,Store B,Home & Kitchen,4,107.54,430.14
2024-01-20,Store B,Beauty,3,32.28,96.83
2024-01-20,Store C,Electronics,6,120.59,723.53
2024-01-20,Store C,Clothing,6,67.11,402.69
2024-01-20,Store C,Groceries,10,19.8,197.99
2024-01-20,Store C,Home & Kitchen,5,78.4,392.02
2024-01-20,Store C,Beauty,4,53.99,215.95
2024-01-21,Store A,Electronics,9,202.06,1818.53
2024-01-21,Store A,Clothing,8,25.62,204.99
2024-01-21,Store A,Groceries,19,6.42,122.06
2024-01-21,Store A,Home & Kitchen,6,80.64,483.87
2024-01-21,Store A,Beauty,5,30.13,150.63
2024-01-21,Store B,Electronics,11,243.98,2683.74
2024-01-21,Store B,Clothing,4,27.23,108.94
2024-01-21,Store B,Groceries,11,10.37,114.06
2024-01-21,Store B,Home & Kitchen,1,70.45,70.45
2024-01-21,Store B,Beauty,5,34.73,173.64
2024-01-21,Store C,Electronics,8,382.7,3061.62
2024-01-21,Store C,Clothing,5,36.07,180.34
2024-01-21,Store C,Groceries,6,21.24,127.46
2024-01-21,Store C,Home & Kitchen,7,18.28,127.99
2024-01-21,Store C,Beauty,3,36.31,108.93
2024-01-22,Store A,Electronics,7,262.08,1834.57
2024-01-22,Store A,Clothing,6,63.23,379.36
2024-01-22,Store A,Groceries,8,8.33,66.65
2024-01-22,Store A,Home & Kitchen,4,73.89,295.57
2024-01-22,Store A,Beauty,2,29.47,58.94
2024-01-22,Store B,Electronics,5,283.29,1416.46
2024-01-22,Store B,Clothing,4,32.31,129.23
2024-01-22,Store B,Groceries,8,22.02,176.15
2024-01-22,Store B,Home & Kitchen,4,31.99,127.95
2024-01-22,Store B,Beauty,1,29.08,29.08
2024-01-22,Store C,Electronics,3,280.17,840.52
2024-01-22,Store C,Clothing,5,57.69,288.44
2024-01-22,Store C,Groceries,5,9.14,45.68
2024-01-22,Store C,Home & Kitchen,4,52.69,210.76
2024-01-22,Store C,Beauty,4,7.11,28.46
2024-01-23,Store A,Electronics,8,213.61,1708.92
2024-01-23,Store A,Clothing,1,68.89,68.89
2024-01-23,Store A,Groceries,2,20.16,40.32
2024-01-23,Store A,Home & Kitchen,9,58.06,522.53
2024-01-23,Store A,Beauty,9,38.07,342.6
2024-01-23,Store B,Electronics,6,306.1,1836.58
2024-01-23,Store B,Clothing,4,64.23,256.93
2024-01-23,Store B,Groceries,5,2.33,11.63
2024-01-23,Store B,Home & Kitchen,8,96.12,768.92
2024-01-23,Store B,Beauty,2,45.33,90.67
2024-01-23,Store C,Electronics,5,61.73,308.63
2024-01-23,Store C,Clothing,2,79.84,159.69
2024-01-23,Store C,Groceries,6,22.62,135.71
2024-01-23,Store C,Home & Kitchen,4,64.25,257.01
2024-01-24,Store A,Electronics,13,318.18,4136.38
2024-01-24,Store A,Clothing,6,43.12,258.73
2024-01-24,Store A,Groceries,9,4.31,38.76
2024-01-24,Store A,Home & Kitchen,3,81.13,243.39
2024-01-24,Store A,Beauty,10,21.97,219.68
2024-01-24,Store B,Electronics,3,85.55,256.64
2024-01-24,Store B,Clothing,2,79.38,158.75
2024-01-24,Store B,Groceries,5,12.09,60.46
2024-01-24,Store B,Home & Kitchen,1,104.63,104.63
2024-01-24,Store B,Beauty,2,59.6,119.19
2024-01-24,Store C,Electronics,6,69.93,419.6
2024-01-24,Store C,Clothing,8,58.47,467.79
2024-01-24,Store C,Groceries,11,13.77,151.48
2024-01-24,Store C,Home & Kitchen,3,17.13,51.4
2024-01-24,Store C,Beauty,3,45.55,136.65
2024-01-25,Store A,Electronics,11,172.75,1900.3
2024-01-25,Store A,Clothing,5,54.81,274.04
2024-01-25,Store A,Groceries,11,22.23,244.57
2024-01-25,Store A,Home & Kitchen,5,87.24,436.18
2024-01-25,Store A,Beauty,4,12.94,51.76
2024-01-25,Store B,Electronics,6,173.1,1038.6
2024-01-25,Store B,Clothing,8,53.29,426.31
2024-01-25,Store B,Groceries,10,24.48,244.84
2024-01-25,Store B,Home & Kitchen,5,64.13,320.64
2024-01-25,Store B,Beauty,4,17.09,68.37
2024-01-25,Store C,Electronics,7,157.91,1105.37
2024-01-25,Store C,Clothing,2,23.08,46.16
2024-01-25,Store C,Groceries,6,20.53,123.19
2024-01-25,Store C,Home & Kitchen,4,107.94,431.76
2024-01-25,Store C,Beauty,1,38.6,38.6
2024-01-26,Store A,Electronics,1,269.9,269.9
2024-01-26,Store A,Clothing,4,75.58,302.33
2024-01-26,Store A,Groceries,9,19.66,176.9
2024-01-26,Store A,Home & Kitchen,2,117.43,234.85
2024-01-26,Store A,Beauty,2,48.63,97.25
2024-01-26,Store B,Electronics,7,93.34,653.37
2024-01-26,Store B,Clothing,7,58.06,406.44
2024-01-26,Store B,Groceries,7,12.31,86.2
2024-01-26,Store B,Beauty,4,11.0,43.99
2024-01-26,Store C,Electronics,5,288.59,1442.96
2024-01-26,Store C,Clothing,6,47.19,283.17
2024-01-26,Store C,Groceries,7,9.96,69.72
2024-01-26,Store C,Home & Kitchen,2,52.52,105.04
2024-01-26,Store C,Beauty,2,50.01,100.03
2024-01-27,Store A,Electronics,12,91.76,1101.09
2024-01-27,Store A,Clothing,9,23.18,208.65
2024-01-27,Store A,Groceries,11,10.38,114.2
2024-01-27,Store A,Home & Kitchen,9,49.07,441.61
2024-01-27,Store A,Beauty,5,16.36,81.81
2024-01-27,Store B,Electronics,11,241.7,2658.67
2024-01-27,Store B,Clothing,9,19.24,173.13
2024-01-27,Store B,Groceries,7,2.63,18.39
2024-01-27,Store B,Home & Kitchen,6,17.64,105.87
2024-01-27,Store B,Beauty,3,38.47,115.41
2024-01-27,Store C,Electronics,4,86.67,346.68
2024-01-27,Store C,Clothing,5,75.39,376.97
2024-01-27,Store C,Groceries,8,18.36,146.86
2024-01-27,Store C,Home & Kitchen,4,52.91,211.64
2024-01-27,Store C,Beauty,4,21.95,87.8
2024-01-28,Store A,Electronics,15,231.71,3475.65
2024-01-28,Store A,Clothing,5,42.36,211.78
2024-01-28,Store A,Groceries,11,22.16,243.73
2024-01-28,Store A,Home & Kitchen,8,98.11,784.88
2024-01-28,Store A,Beauty,7,46.52,325.61
2024-01-28,Store B,Electronics,5,284.96,1424.79
2024-01-28,Store B,Clothing,5,42.06,210.29
2024-01-28,Store B,Groceries,10,17.01,170.07
2024-01-28,Store B,Home & Kitchen,5,13.62,68.1
2024-01-28,Store B,Beauty,5,29.31,146.54
2024-01-28,Store C,Electronics,4,117.31,469.22
2024-01-28,Store C,Clothing,8,17.86,142.91
2024-01-28,Store C,Groceries,6,20.54,123.21
2024-01-28,Store C,Home & Kitchen,3,60.24,180.73
2024-01-28,Store C,Beauty,6,43.38,260.25
2024-01-29,Store A,Electronics,10,286.01,2860.11
2024-01-29,Store A,Clothing,9,64.93,584.38
2024-01-29,Store A,Groceries,8,11.6,92.79
2024-01-29,Store A,Home & Kitchen,4,63.15,252.59
2024-01-29,Store A,Beauty,6,24.88,149.25
2024-01-29,Store B,Electronics,6,349.14,2094.86
2024-01-29,Store B,Clothing,4,23.9,95.59
2024-01-29,Store B,Groceries,8,18.8,150.4
2024-01-29,Store B,Home & Kitchen,1,73.96,73.96
2024-01-29,Store B,Beauty,4,30.63,122.52
2024-01-29,Store C,Electronics,6,314.08,1884.47
2024-01-29,Store C,Clothing,3,73.82,221.47
2024-01-29,Store C,Groceries,4,15.27,61.06
2024-01-29,Store C,Home & Kitchen,2,38.89,77.79
2024-01-29,Store C,Beauty,2,57.67,115.35
2024-01-30,Store A,Electronics,8,249.13,1993.03
2024-01-30,Store A,Clothing,6,45.21,271.26
2024-01-30,Store A,Groceries,11,16.95,186.47
2024-01-30,Store A,Home & Kitchen,8,75.89,607.11
2024-01-30,Store A,Beauty,2,25.11,50.23
2024-01-30,Store B,Electronics,8,333.33,2666.6
2024-01-30,Store B,Clothing,7,19.95,139.63
2024-01-30,Store B,Groceries,2,10.77,21.55
2024-01-30,Store B,Home & Kitchen,4,48.41,193.65
2024-01-30,Store B,Beauty,3,50.91,152.73
2024-01-30,Store C,Electronics,4,51.59,206.37
2024-01-30,Store C,Clothing,2,77.22,154.45
2024-01-30,Store C,Groceries,4,18.49,73.96
2024-01-30,Store C,Home & Kitchen,4,27.53,110.13
2024-01-30,Store C,Beauty,2,35.26,70.52
2024-01-31,Store A,Electronics,6,68.5,411.03
2024-01-31,Store A,Clothing,4,22.5,89.99
2024-01-31,Store A,Groceries,9,10.55,94.98
2024-01-31,Store A,Home & Kitchen,4,47.42,189.68
2024-01-31,Store A,Beauty,2,48.67,97.34
2024-01-31,Store B,Electronics,8,211.17,1689.34
2024-01-31,Store B,Clothing,7,23.78,166.43
2024-01-31,Store B,Groceries,7,3.99,27.94
2024-01-31,Store B,Home & Kitchen,2,74.36,148.73
2024-01-31,Store B,Beauty,4,52.57,210.27
2024-01-31,Store C,Electronics,5,320.38,1601.9
2024-01-31,Store C,Clothing,4,20.81,83.24
2024-01-31,Store C,Groceries,6,11.71,70.26
2024-01-31,Store C,Home & Kitchen,2,84.67,169.33
2024-01-31,Store C,Beauty,1,44.31,44.31
2024-02-01,Store A,Electronics,8,50.31,402.5
2024-02-01,Store A,Clothing,5,44.69,223.46
2024-02-01,Store A,Groceries,13,12.15,158.0
2024-02-01,Store A,Home & Kitchen,7,22.36,156.55
2024-02-01,Store A,Beauty,2,6.32,12.64
2024-02-01,Store B,Electronics,9,259.81,2338.32
2024-02-01,Store B,Clothing,3,58.41,175.23
2024-02-01,Store B,Groceries,13,2.52,32.79
2024-02-01,Store B,Home & Kitchen,3,119.56,358.68
2024-02-01,Store B,Beauty,7,25.64,179.5
2024-02-01,Store C,Electronics,8,173.06,1384.45
2024-02-01,Store C,Clothing,4,78.01,312.05
2024-02-01,Store C,Groceries,9,21.26,191.36
2024-02-01,Store C,Home & Kitchen,1,95.93,95.93
2024-02-01,Store C,Beauty,4,15.72,62.88
2024-02-02,Store A,Electronics,7,221.93,1553.54
2024-02-02,Store A,Clothing,5,53.16,265.81
2024-02-02,Store A,Groceries,7,12.83,89.81
2024-02-02,Store A,Home & Kitchen,3,103.87,311.61
2024-02-02,Store A,Beauty,7,9.98,69.83
2024-02-02,Store B,Electronics,2,288.99,577.98
2024-02-02,Store B,Clothing,5,65.82,329.11
2024-02-02,Store B,Groceries,5,13.53,67.66
2024-02-02,Store B,Home & Kitchen,7,96.77,677.42
2024-02-02,Store B,Beauty,1,53.67,53.67
2024-02-02,Store C,Electronics,4,273.81,1095.23
2024-02-02,Store C,Clothing,6,77.99,467.93
2024-02-02,Store C,Groceries,4,6.15,24.61
2024-02-02,Store C,Home & Kitchen,2,80.23,160.46
2024-02-02,Store C,Beauty,4,44.75,179.0
2024-02-03,Store A,Electronics,11,225.02,2475.24
2024-02-03,Store A,Clothing,14,63.92,894.89
2024-02-03,Store A,Groceries,13,19.87,258.37
2024-02-03,Store A,Home & Kitchen,6,78.52,471.11
2024-02-03,Store A,Beauty,3,22.07,66.22
2024-02-03,Store B,Electronics,6,282.97,1697.82
2024-02-03,Store B,Clothing,11,38.63,424.94
2024-02-03,Store B,Groceries,10,22.88,228.83
2024-02-03,Store B,Home & Kitchen,4,80.41,321.64
2024-02-03,Store B,Beauty,1,42.8,42.8
2024-02-03,Store C,Electronics,5,236.43,1182.16
2024-02-03,Store C,Clothing,5,76.82,384.12
2024-02-03,Store C,Groceries,10,16.75,167.46
2024-02-03,Store C,Home & Kitchen,4,19.85,79.4
2024-02-03,Store C,Beauty,4,26.84,107.34
2024-02-04,Store A,Electronics,12,363.6,4363.21
2024-02-04,Store A,Clothing,7,39.56,276.93
2024-02-04,Store A,Groceries,14,19.53,273.38
2024-02-04,Store A,Home & Kitchen,5,17.54,87.68
2024-02-04,Store A,Beauty,8,14.51,116.05
2024-02-04,Store B,Electronics,4,272.01,1088.02
2024-02-04,Store B,Clothing,6,36.6,219.62
2024-02-04,Store B,Groceries,11,4.27,46.99
2024-02-04,Store B,Home & Kitchen,5,53.85,269.26
2024-02-04,Store B,Beauty,5,5.95,29.75
2024-02-04,Store C,Electronics,5,120.25,601.25
2024-02-04,Store C,Clothing,9,78.45,706.02
2024-02-04,Store C,Groceries,8,5.1,40.79
2024-02-04,Store C,Home & Kitchen,7,56.42,394.96
